game,Age,time1,time2,min,max,complex,year,Spiel des Jahres,owner,category,bgg link,Author,
Chess,6,,,2,2,3.66,,,,board,https://boardgamegeek.com/boardgame/171/chess,(classic),
Agricola,12,30,150,1,5,3.64,2007,Kennerspiel,,board,https://boardgamegeek.com/boardgame/31260/agricola,Uwe Rosenberg,
Tigris & Euphrates,12,60,120,2,4,3.50,1997,recommended,,board,https://boardgamegeek.com/boardgame/42/tigris-euphrates,,
Power grid / Funkenschlag,12,90,120,2,6,3.25,2004,recommended,,board,https://boardgamegeek.com/boardgame/2651/power-grid,,
The Village,12,60,90,2,4,3.07,2011,Kennerspiel,Martin,board,https://boardgamegeek.com/boardgame/104006/village,,
Puerto Rico 1897,12,70,120,2,5,3.00,2022,nominated,,board,https://boardgamegeek.com/boardgame/367272/puerto-rico-1897,Andreas Seyfarth,
Everdell,10,40,80,1,4,2.81,2018,,Oskar,board,https://boardgamegeek.com/boardgame/199792/everdell,James A. Wilson,
Wingspan,10,40,70,1,5,2.45,2019,Kennerspiel,,board,https://boardgamegeek.com/boardgame/266192/wingspan,,
Catan Duel,10,45,,2,2,2.32,2010,,Hugo,board,https://boardgamegeek.com/boardgame/66056/rivals-catan,Klaus Teuber,
San Juan,10,45,60,2,4,2.29,2004,recommended,,card,https://boardgamegeek.com/boardgame/8217/san-juan,,
Inkognito,10,60,90,2,4,2.16,1988,Spiel des Jahres,,board,https://boardgamegeek.com/boardgame/466/inkognito,"Leo Colovini, Alex Randolph",
Canasta,12,45,60,2,6,2.14,,,,card,https://boardgamegeek.com/boardgame/17104/canasta,,
Quo Vadis?,8,30,60,3,5,2.08,1992,,Martin,board,https://boardgamegeek.com/boardgame/122/quo-vadis,Reiner Knizia,
Scrabble (German),10,60,90,2,4,2.07,1948,,Martin,board,https://boardgamegeek.com/boardgame/320/scrabble,,
Sky team,12,,,2,2,2.05,2024,Spiel des Jahres,Hugo,board,https://boardgamegeek.com/boardgame/373106/sky-team,Luc Rémond,
